Cohort Year,Level,Division Number,Division Name,School Number,School Name,Type of Graduation Rate,Rate Type,Graduation Rate,Students in Cohort,Total Graduates,Advanced Studies,IB,Standard,Other Diplomas,Applied Studies,Dropout Rate
2020,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,    98.96%,             288,             285,             223,               0,              58,               0,<,      .00%
2020,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,    93.55%,"           1,085","           1,015",             677,               0,             329,               0,<,     4.42%
2020,State,,,,,On-Time Graduation Rate,4 yr rate,    92.48%,"          98,431","          91,030","          50,032","           1,013","          37,580",<,"           2,399",     5.11%
2021,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,    96.13%,             491,             472,             319,               0,             147,               0,<,     3.46%
2021,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,    94.72%,             284,             269,             159,               0,             101,               0,<,     4.23%
2021,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,    98.99%,             297,             294,             216,               0,              75,               0,<,      .67%
2021,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,    96.40%,"           1,084","           1,045",             698,               0,             329,               0,              18,     2.95%
2021,State,,,,,On-Time Graduation Rate,4 yr rate,    93.00%,"          97,171","          90,367","          50,332",             925,"          36,990",<,"           2,115",     4.27%
2022,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,    93.97%,             481,             452,             295,               0,             150,               0,<,     4.78%
2022,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,    92.54%,             295,             273,             173,               0,              93,               0,<,     5.76%
2022,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,    96.96%,             296,             287,             231,               0,              53,               0,<,      .68%
2022,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,    94.30%,"           1,087","           1,025",             701,               0,             307,               0,              17,     3.86%
2022,State,,,,,On-Time Graduation Rate,4 yr rate,    92.16%,"          98,723","          90,988","          51,277",             890,"          36,675",<,"           2,145",     5.16%
2023,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,    92.02%,             476,             438,             292,               0,             136,               0,              10,     5.88%
2023,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,    94.78%,             345,             327,             210,               0,             115,               0,<,     3.48%
2023,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,    96.80%,             281,             272,             210,               0,              56,               0,<,     2.14%
2023,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,    93.98%,"           1,130","           1,062",             720,               1,             323,               0,              18,     4.16%
2023,State,,,,,On-Time Graduation Rate,4 yr rate,    92.02%,"          98,955","          91,055","          50,202",             777,"          37,920",<,"           2,152",     5.35%
2024,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,    90.66%,             503,             456,             289,               0,             157,               0,              10,     7.55%
2024,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,    94.92%,             295,             280,             165,               0,             110,               0,<,     3.05%
2024,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,    95.44%,             263,             251,             195,               0,              54,               0,<,     1.90%
2024,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,    93.15%,"           1,080","           1,006",             664,               0,             325,               0,              17,     4.81%
2024,State,,,,,On-Time Graduation Rate,4 yr rate,    92.85%,"          98,624","          91,568","          49,953",             387,"          39,360",<,"           1,865",     4.50%
