Cohort Year,Level,Division Number,Division Name,School Number,School Name,Type of Graduation Rate,Rate Type,English Learner,Graduation Rate,Students in Cohort,Total Graduates,Advanced Studies,IB,Standard,Other Diplomas,Applied Studies,Dropout Rate
2009,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,N,    90.17%,"           1,017",             917,             632,               0,             258,<,              21,     5.60%
2009,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,Y,    71.79%,              39,              28,              15,               0,              13,               0,               0,    20.51%
2009,State,,,,,On-Time Graduation Rate,4 yr rate,N,    83.86%,"          94,169","          78,967","          41,704",             716,"          32,758","           1,755","           2,036",     8.92%
2009,State,,,,,On-Time Graduation Rate,4 yr rate,Y,    68.58%,"           3,928","           2,694",             921,               6,"           1,637",              79,              51,    27.06%
2010,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,N,    91.63%,             406,             372,             283,               0,              78,<,<,     5.17%
2010,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    75.00%,              24,              18,              12,               0,               6,               0,               0,    20.83%
2010,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,N,    93.92%,             263,             247,             166,               0,              68,<,<,     4.56%
2010,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,Y,    52.94%,              17,               9,               2,               0,               7,               0,               0,    41.18%
2010,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,N,    95.26%,             274,             261,             175,               0,              76,<,<,     2.55%
2010,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,Y,<,<,<,<,<,<,<,<,<
2010,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,N,    93.05%,             978,             910,             629,               0,             247,              10,              24,     4.09%
2010,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,Y,    67.44%,              43,              29,              16,               0,              13,               0,               0,    27.91%
2010,State,,,,,On-Time Graduation Rate,4 yr rate,N,    86.18%,"          94,050","          81,042","          43,049",             752,"          33,434","           1,680","           2,133",     7.23%
2010,State,,,,,On-Time Graduation Rate,4 yr rate,Y,    73.94%,"           3,664","           2,709",             934,               6,"           1,627",              74,              68,    22.13%
