"","year","division_number","division_name","subject","disadvantaged","test_source","pass_count","total_count","pass_rate"
"1","2010-2011",2,"Albemarle County","English:Reading","N","SOL",4913,5125,95
"2","2010-2011",2,"Albemarle County","English:Reading","Y","SOL",1246,1610,77
"3","2011-2012",2,"Albemarle County","English:Reading","N","SOL",4785,5015,95
"4","2011-2012",2,"Albemarle County","English:Reading","Y","SOL",1250,1659,75
"5","2012-2013",2,"Albemarle County","English:Reading","N","SOL",4354,4955,87
"6","2012-2013",2,"Albemarle County","English:Reading","Y","SOL",907,1732,52
"7","2013-2014",2,"Albemarle County","English:Reading","N","SOL",4332,4948,87
"8","2013-2014",2,"Albemarle County","English:Reading","Y","SOL",911,1724,52
"9","2014-2015",2,"Albemarle County","English:Reading","N","SOL",4421,4935,89
"10","2014-2015",2,"Albemarle County","English:Reading","Y","SOL",943,1792,52
"11","2015-2016",2,"Albemarle County","English:Reading","N","SOL",4453,4936,90
"12","2015-2016",2,"Albemarle County","English:Reading","Y","SOL",977,1882,51
"13","2016-2017",2,"Albemarle County","English:Reading","N","SOL",4442,4918,90
"14","2016-2017",2,"Albemarle County","English:Reading","Y","SOL",1042,1918,54
"15","2017-2018",2,"Albemarle County","English:Reading","N","SOL",4449,4929,90
"16","2017-2018",2,"Albemarle County","English:Reading","Y","SOL",1192,2226,53
"17","2018-2019",2,"Albemarle County","English:Reading","N","SOL",4516,5041,89
"18","2018-2019",2,"Albemarle County","English:Reading","Y","SOL",1163,2207,52
"19","2020-2021",2,"Albemarle County","English:Reading","N","SOL",2547,2876,88
"20","2020-2021",2,"Albemarle County","English:Reading","Y","SOL",521,1138,45
"21","2021-2022",2,"Albemarle County","English:Reading","N","SOL",4286,5002,85
"22","2021-2022",2,"Albemarle County","English:Reading","Y","SOL",1053,2104,50
"23","2022-2023",2,"Albemarle County","English:Reading","N","SOL",4080,4734,86
"24","2022-2023",2,"Albemarle County","English:Reading","Y","SOL",1063,2209,48
"25","2023-2024",2,"Albemarle County","English:Reading","N","SOL",4104,4732,86
"26","2023-2024",2,"Albemarle County","English:Reading","Y","SOL",1099,2213,49
